,Mode,Set P,PEEP,PSV,Actual RR,Set RR,Vti,Cdyn,EtCo2,SpO2 (%),Animal,Breed,Gender,Weigth(kg),Age(years),FinalCondition,Temperature (F),Actual_PIP,Heart_Rate,Blood_Pressure_SAP
4,6,15.0,5.0,5.0,25.0,25.0,97.0,15.0,32.0,98.0,1,1,1,1.9,1.0,0,96.3,15.0,66.0,150.0
5,6,15.0,5.0,5.0,8.0,20.0,97.0,15.0,27.0,98.0,1,1,1,1.9,1.0,0,96.4,15.0,94.0,160.0
6,6,15.0,5.0,5.0,17.0,17.0,46.0,15.0,31.0,94.0,1,1,1,1.9,1.0,0,97.2,15.0,94.0,160.0
7,6,15.0,5.0,5.0,17.0,17.0,41.0,15.0,36.0,92.0,1,1,1,1.9,1.0,0,98.1,15.0,53.0,175.0
8,6,15.0,6.0,5.0,20.0,17.0,35.0,15.0,39.0,93.0,1,1,1,1.9,1.0,0,99.5,15.0,78.0,160.0
9,6,13.0,6.0,5.0,112.0,17.0,24.0,15.0,32.0,94.0,1,1,1,1.9,1.0,0,99.3,20.4,91.0,75.0
11,6,13.0,7.0,5.0,52.0,17.0,25.0,15.0,37.0,92.0,1,1,1,1.9,1.0,0,99.7,14.3,93.0,125.0
13,6,13.0,7.0,5.0,21.0,17.0,22.0,3.0,46.0,92.0,1,1,1,1.9,1.0,0,100.6,13.3,110.0,135.0
15,6,14.0,7.0,5.0,24.0,22.0,22.0,3.0,42.0,91.0,1,1,1,1.9,1.0,0,100.0,9.1,93.0,135.0
16,6,14.0,7.0,5.0,25.0,24.0,18.0,3.0,42.0,87.0,1,1,1,1.9,1.0,0,100.8,15.5,95.0,138.0
17,6,14.0,7.0,6.0,22.0,28.0,23.0,3.0,37.0,89.0,1,1,1,1.9,1.0,0,99.7,14.8,97.0,155.0
18,6,14.0,7.0,6.0,26.0,28.0,22.0,3.0,37.0,96.0,1,1,1,1.9,1.0,0,99.5,22.8,89.0,150.0
19,6,14.0,7.0,6.0,26.0,28.0,23.0,3.0,36.0,93.0,1,1,1,1.9,1.0,0,100.4,23.1,103.0,175.0
20,6,14.0,7.0,6.0,19.0,28.0,23.0,3.0,31.0,90.0,1,1,1,1.9,1.0,0,99.5,22.8,98.0,175.0
21,6,14.0,7.0,6.0,28.0,31.0,36.0,3.0,43.0,89.0,1,1,1,1.9,1.0,0,99.7,22.5,99.0,180.0
22,6,13.0,7.0,6.0,20.0,28.0,18.0,3.0,38.0,88.0,1,1,1,1.9,1.0,0,98.6,16.0,108.0,165.0
23,6,13.0,7.0,6.0,74.0,28.0,37.0,3.0,35.0,84.0,1,1,1,1.9,1.0,0,99.3,16.8,185.0,160.0
26,6,13.0,7.0,9.0,114.0,20.0,38.0,4.0,33.0,88.0,1,1,1,1.9,1.0,0,99.9,18.7,146.0,120.0
28,6,13.0,9.0,7.0,89.0,20.0,22.0,2.0,30.0,89.0,1,1,1,1.9,1.0,0,101.3,23.6,129.0,118.0
29,6,13.0,9.0,5.0,34.0,20.0,19.0,6.0,36.0,87.0,1,1,1,1.9,1.0,0,100.0,18.3,129.0,122.0
30,6,13.0,9.0,5.0,87.0,20.0,38.0,2.0,35.0,84.0,1,1,1,1.9,1.0,0,100.9,29.1,130.0,185.0
31,6,13.0,10.0,5.0,112.0,25.0,38.0,2.0,30.0,81.0,1,1,1,1.9,1.0,0,99.0,24.0,130.0,175.0
65,4,16.0,10.0,10.3,26.0,22.0,97.0,15.0,43.0,95.0,1,8,0,20.0,13.0,0,100.9,0.0,112.0,120.0
67,5,16.0,10.0,5.0,16.0,16.0,225.0,15.0,32.0,100.0,1,8,0,20.0,13.0,0,99.3,28.0,117.0,80.0
68,5,16.0,10.8,5.0,16.0,16.0,255.0,20.0,29.0,95.0,1,8,0,20.0,13.0,0,98.6,25.6,70.0,76.0
69,5,16.0,8.0,5.0,16.0,16.0,224.0,17.0,31.0,99.0,1,8,0,20.0,13.0,0,98.4,25.9,58.0,189.0
70,5,16.0,6.0,5.0,16.0,16.0,228.0,17.0,34.0,99.0,1,8,0,20.0,13.0,0,99.7,25.6,48.0,151.0
71,5,14.0,7.0,5.0,33.0,18.0,218.0,15.0,35.0,99.0,1,8,0,20.0,13.0,0,100.0,23.8,85.0,162.0
72,5,14.0,7.0,5.0,32.0,20.0,227.0,15.0,36.0,100.0,1,8,0,20.0,13.0,0,100.6,23.5,100.0,182.0
73,5,14.0,7.0,5.0,34.0,20.0,221.0,15.0,34.0,100.0,1,8,0,20.0,13.0,0,101.1,23.8,90.0,164.0
74,5,13.0,7.0,5.0,29.0,20.0,191.0,14.0,36.0,100.0,1,8,0,20.0,13.0,0,101.5,22.5,61.0,148.0
75,5,13.0,7.0,5.0,28.0,20.0,209.0,16.0,34.0,100.0,1,8,0,20.0,13.0,0,101.1,22.2,78.0,163.0
76,5,13.0,7.0,5.0,27.0,20.0,231.0,17.0,31.0,100.0,1,8,0,20.0,13.0,0,101.7,22.7,57.0,153.0
77,5,13.0,7.0,5.0,28.0,20.0,234.0,18.0,29.0,100.0,1,8,0,20.0,13.0,0,102.0,22.7,90.0,186.0
78,5,13.0,7.0,5.0,114.0,20.0,247.0,18.0,35.0,100.0,1,8,0,20.0,13.0,0,101.8,22.4,56.0,150.0
79,5,11.0,6.0,5.0,26.0,20.0,234.0,20.0,30.0,98.0,1,8,0,20.0,13.0,0,100.9,19.0,91.0,173.0
80,5,10.0,6.0,5.0,28.0,20.0,202.0,19.0,34.0,99.0,1,8,0,20.0,13.0,0,100.6,18.0,54.0,158.0
81,5,12.0,5.0,5.0,32.0,20.0,205.0,15.0,34.0,100.0,1,8,0,20.0,13.0,0,100.0,19.4,103.0,165.0
82,5,12.0,5.0,5.0,32.0,20.0,206.0,16.0,32.0,100.0,1,8,0,20.0,13.0,0,100.4,19.2,91.0,162.0
83,5,12.0,5.0,5.0,29.0,18.0,202.0,16.0,35.0,100.0,1,8,0,20.0,13.0,0,100.4,12.0,66.0,153.0
84,5,10.0,5.0,5.0,36.0,18.0,206.0,20.0,47.0,95.0,1,8,0,20.0,13.0,0,100.0,16.6,60.0,129.0
85,5,10.0,4.0,5.0,28.0,10.0,184.0,17.0,45.0,97.0,1,8,0,20.0,13.0,0,100.4,15.9,91.0,192.0
87,0,16.0,10.0,14.0,66.0,30.0,25.0,15.0,34.0,80.0,0,10,1,4.85,2.0,0,97.5,39.1,217.0,70.0
91,6,16.0,10.0,14.0,98.0,30.0,13.0,15.0,37.0,95.0,0,10,1,4.85,2.0,0,98.8,25.1,212.0,62.0
92,6,16.0,8.0,14.0,32.0,30.0,38.0,15.0,43.0,95.0,0,10,1,4.85,2.0,0,99.1,39.8,202.0,70.0
95,0,16.0,8.0,14.0,30.0,30.0,48.0,15.0,42.0,83.0,0,10,1,4.85,2.0,0,100.8,38.6,220.0,75.0
102,6,25.0,9.0,12.0,25.0,25.0,53.0,15.0,42.0,95.0,1,4,1,5.22,5.0,0,97.5,31.1,57.0,90.0
103,6,23.0,9.0,12.0,25.0,25.0,47.0,15.0,43.0,96.0,1,4,1,5.22,5.0,0,97.5,31.1,52.0,100.0
104,6,23.0,9.0,12.0,25.0,25.0,67.0,15.0,39.0,98.0,1,4,1,5.22,5.0,0,95.6,31.1,44.0,115.0
107,6,20.0,8.0,12.0,25.0,25.0,61.0,15.0,46.0,100.0,1,4,1,5.22,5.0,0,98.4,27.0,62.0,104.0
108,6,23.0,8.0,12.0,25.0,25.0,61.0,15.0,47.0,95.0,1,4,1,5.22,5.0,0,99.7,30.0,75.0,96.0
110,6,23.0,8.0,12.0,20.0,20.0,60.0,15.0,47.0,95.0,1,4,1,5.22,5.0,0,100.3,30.4,50.0,96.0
112,6,21.0,7.0,12.0,25.0,25.0,61.0,15.0,42.0,97.0,1,4,1,5.22,5.0,0,98.0,27.2,101.0,92.0
113,6,24.0,8.0,12.0,25.0,25.0,58.0,15.0,45.0,97.0,1,4,1,5.22,5.0,0,97.6,31.0,51.0,98.0
114,6,24.0,8.0,12.0,25.0,25.0,59.0,15.0,48.0,97.0,1,4,1,5.22,5.0,0,97.8,31.1,77.0,104.0
115,6,24.0,8.0,12.0,25.0,25.0,62.0,15.0,41.0,95.0,1,4,1,5.22,5.0,0,98.1,31.0,80.0,98.0
116,6,24.0,8.0,12.0,25.0,25.0,61.0,15.0,42.0,94.0,1,4,1,5.22,5.0,0,99.3,30.8,76.0,117.0
117,6,24.0,8.0,12.0,25.0,25.0,67.0,15.0,43.0,90.0,1,4,1,5.22,5.0,0,101.8,30.9,98.0,108.0
118,6,24.0,8.0,12.0,25.0,25.0,69.0,15.0,43.0,91.0,1,4,1,5.22,5.0,0,102.2,31.0,57.0,131.0
119,6,24.0,8.0,12.0,25.0,25.0,61.0,15.0,41.0,95.0,1,4,1,5.22,5.0,0,100.9,31.0,64.0,116.0
120,6,24.0,8.0,12.0,25.0,25.0,61.0,15.0,41.0,93.0,1,4,1,5.22,5.0,0,100.74,30.9,45.0,111.0
121,6,24.0,8.0,12.0,25.0,25.0,55.0,15.0,42.0,94.0,1,4,1,5.22,5.0,0,99.9,31.4,66.0,108.0
122,6,24.0,8.0,12.0,25.0,25.0,54.0,15.0,41.0,95.0,1,4,1,5.22,5.0,0,100.0,31.1,63.0,107.0
123,6,24.0,8.0,12.0,25.0,25.0,64.0,15.0,41.0,94.0,1,4,1,5.22,5.0,0,101.1,30.9,40.0,105.0
124,6,24.0,8.0,12.0,25.0,25.0,61.0,15.0,34.0,96.0,1,4,1,5.22,5.0,0,97.5,30.7,36.0,98.0
125,6,24.0,8.0,12.0,25.0,25.0,64.0,15.0,32.0,93.0,1,4,1,5.22,5.0,0,98.1,30.8,47.0,105.0
126,6,24.0,8.0,12.0,25.0,25.0,62.0,15.0,38.0,92.0,1,4,1,5.22,5.0,0,98.8,30.8,39.0,96.0
127,6,24.0,8.0,12.0,25.0,25.0,59.0,15.0,36.0,95.0,1,4,1,5.22,5.0,0,96.4,30.8,51.0,100.0
128,6,24.0,8.0,12.0,49.0,25.0,58.0,15.0,36.0,90.0,1,4,1,5.22,5.0,0,68.1,32.3,46.0,100.0
129,6,24.0,8.0,12.0,49.0,25.0,69.0,15.0,31.0,96.0,1,4,1,5.22,5.0,0,99.7,33.0,47.0,95.0
130,6,24.0,8.0,12.0,25.0,25.0,66.0,15.0,29.0,99.0,1,4,1,5.22,5.0,0,99.9,31.0,40.0,93.0
131,6,24.0,8.0,12.0,25.0,25.0,72.0,15.0,31.0,93.0,1,4,1,5.22,5.0,0,98.6,32.7,41.0,97.0
132,6,24.0,8.0,12.0,25.0,25.0,57.0,15.0,32.0,95.0,1,4,1,5.22,5.0,0,99.3,31.2,43.0,90.0
133,6,24.0,8.0,12.0,25.0,25.0,61.0,15.0,29.0,82.0,1,4,1,5.22,5.0,0,96.4,30.9,44.0,105.0
134,6,24.0,8.0,12.0,25.0,25.0,52.0,15.0,33.0,98.0,1,4,1,5.22,5.0,0,98.0,30.9,37.0,95.0
135,6,24.0,8.0,12.0,25.0,25.0,54.0,15.0,35.0,95.0,1,4,1,5.22,5.0,0,101.0,30.7,50.0,95.0
136,6,24.0,9.0,12.0,25.0,25.0,51.0,15.0,37.0,92.0,1,4,1,5.22,5.0,0,101.8,32.0,47.0,90.0
137,6,29.0,9.0,12.0,25.0,25.0,56.0,15.0,34.0,94.0,1,4,1,5.22,5.0,0,99.7,37.2,40.0,88.0
138,6,28.0,9.0,12.0,25.0,25.0,54.0,15.0,33.0,97.0,1,4,1,5.22,5.0,0,99.0,36.4,34.0,81.0
139,6,26.0,9.0,12.0,25.0,25.0,51.0,15.0,33.0,96.0,1,4,1,5.22,5.0,0,98.6,34.2,33.0,87.0
140,6,25.0,9.0,12.0,25.0,25.0,54.0,15.0,35.0,96.0,1,4,1,5.22,5.0,0,98.8,33.3,33.0,81.0
141,6,25.0,9.0,12.0,25.0,25.0,59.0,15.0,36.0,94.0,1,4,1,5.22,5.0,0,101.1,33.3,35.0,79.0
143,6,25.0,9.0,12.0,25.0,25.0,65.0,15.0,35.0,95.0,1,4,1,5.22,5.0,0,101.7,32.9,45.0,96.0
145,6,25.0,9.0,12.0,25.0,25.0,58.0,15.0,34.0,96.0,1,4,1,5.22,5.0,0,100.0,33.1,39.0,102.0
146,6,25.0,9.0,12.0,25.0,25.0,57.0,15.0,32.0,97.0,1,4,1,5.22,5.0,0,98.8,33.5,32.0,82.0
147,6,25.0,9.0,12.0,25.0,25.0,60.0,15.0,31.0,91.0,1,4,1,5.22,5.0,0,98.8,33.2,37.0,76.0
148,6,25.0,8.0,12.0,25.0,25.0,62.0,15.0,31.0,89.0,1,4,1,5.22,5.0,0,99.5,32.0,36.0,84.0
149,6,25.0,9.0,12.0,25.0,25.0,55.0,15.0,35.0,92.0,1,4,1,5.22,5.0,0,100.8,33.2,49.0,87.0
150,6,25.0,9.0,12.0,25.0,25.0,63.0,15.0,32.0,85.0,1,4,1,5.22,5.0,0,101.5,32.2,31.0,61.0
151,6,25.0,8.0,12.0,25.0,25.0,54.0,15.0,34.0,95.0,1,4,1,5.22,5.0,0,101.5,32.4,38.0,90.0
152,6,25.0,8.0,12.0,25.0,25.0,52.0,15.0,36.0,91.0,1,4,1,5.22,5.0,0,101.1,32.4,39.0,89.0
153,6,25.0,8.0,12.0,25.0,25.0,60.0,15.0,32.0,96.0,1,4,1,5.22,5.0,0,100.8,31.0,38.0,92.0
308,3,25.0,7.0,12.0,36.0,25.0,244.0,15.0,36.0,89.0,1,5,1,28.4,9.0,0,103.8,21.4,175.0,55.0
309,3,18.0,7.0,12.0,22.0,15.0,369.0,15.0,39.0,93.0,1,5,1,28.4,9.0,0,103.8,28.41,134.0,58.0
310,3,18.0,7.0,12.0,15.0,15.0,376.0,15.0,40.0,93.0,1,5,1,28.4,9.0,0,102.9,28.6,133.0,45.0
311,3,18.0,7.0,12.0,16.0,15.0,402.0,15.0,41.0,97.0,1,5,1,28.4,9.0,0,104.0,29.6,149.0,61.0
312,3,18.0,7.0,12.0,17.0,15.0,425.0,15.0,39.0,97.0,1,5,1,28.4,9.0,0,103.6,29.8,144.0,61.0
313,3,18.0,7.0,12.0,16.0,15.0,439.0,15.0,39.0,97.0,1,5,1,28.4,9.0,0,103.5,29.7,146.0,67.0
314,3,18.0,7.0,12.0,15.0,15.0,443.0,15.0,39.0,97.0,1,5,1,28.4,9.0,0,103.1,29.7,142.0,61.0
315,3,18.0,7.0,12.0,18.0,15.0,435.0,15.0,37.0,96.0,1,5,1,28.4,9.0,0,102.9,30.0,139.0,67.0
316,3,18.0,7.0,12.0,15.0,15.0,428.0,15.0,37.0,95.0,1,5,1,28.4,9.0,0,102.7,29.9,138.0,87.0
317,3,18.0,7.0,12.0,15.0,15.0,410.0,15.0,36.0,96.0,1,5,1,28.4,9.0,0,102.6,28.0,145.0,77.0
318,3,18.0,7.0,12.0,15.0,15.0,405.0,15.0,32.0,9.0,1,5,1,28.4,9.0,0,102.2,28.0,144.0,92.0
319,3,18.0,7.0,12.0,15.0,15.0,400.0,15.0,34.0,94.0,1,5,1,28.4,9.0,0,102.0,27.7,149.0,122.0
320,3,18.0,7.0,12.0,15.0,15.0,398.0,15.0,35.0,94.0,1,5,1,28.4,9.0,0,102.0,28.3,150.0,109.0
321,3,18.0,7.0,12.0,15.0,15.0,394.0,15.0,35.0,94.0,1,5,1,28.4,9.0,0,102.2,27.7,157.0,97.0
322,3,18.0,7.0,12.0,15.0,15.0,396.0,15.0,35.0,93.0,1,5,1,28.4,9.0,0,102.2,27.9,146.0,77.0
323,3,18.0,7.0,12.0,15.0,15.0,418.0,15.0,30.0,92.0,1,5,1,28.4,9.0,0,100.2,28.3,135.0,74.0
324,3,18.0,7.0,12.0,10.0,15.0,372.0,15.0,33.0,85.0,1,5,1,28.4,9.0,0,100.4,25.1,136.0,112.0
325,3,18.0,7.0,12.0,16.0,15.0,378.0,15.0,33.0,84.0,1,5,1,28.4,9.0,0,100.5,27.4,136.0,105.0
327,3,18.0,7.0,12.0,16.0,15.0,386.0,15.0,31.0,89.0,1,5,1,28.4,9.0,0,100.5,27.8,141.0,104.0
328,3,20.0,7.0,12.0,12.0,12.0,447.0,15.0,28.0,87.0,1,5,1,28.4,9.0,0,100.4,30.5,113.0,84.0
329,3,16.0,7.0,12.0,16.0,15.0,383.0,15.0,31.0,85.0,1,5,1,28.4,9.0,0,100.4,25.3,137.0,95.0
330,3,16.0,12.0,12.0,15.0,15.0,357.0,15.0,31.0,88.0,1,5,1,28.4,9.0,0,100.4,25.3,133.0,91.0
331,3,16.0,9.0,12.0,16.0,15.0,244.0,15.0,36.0,83.0,1,5,1,28.4,9.0,0,100.2,29.9,146.0,92.0
332,3,20.0,7.0,12.0,15.0,15.0,397.0,15.0,30.0,86.0,1,5,1,28.4,9.0,0,100.2,32.7,110.0,88.0
333,3,17.0,7.0,12.0,21.0,15.0,312.0,15.0,23.0,87.0,1,5,1,28.4,9.0,0,100.2,28.0,108.0,57.0
334,3,17.0,7.0,12.0,15.0,12.0,428.0,15.0,22.0,83.0,1,5,1,28.4,9.0,0,100.0,30.8,115.0,54.0
338,6,8.0,3.0,11.9,20.0,20.0,82.0,15.0,40.0,99.0,1,9,0,5.9,9.0,0,94.3,11.9,82.0,90.0
339,6,8.0,3.0,11.8,20.0,20.0,84.0,15.0,41.0,99.0,1,9,0,5.9,9.0,0,95.4,11.8,79.0,72.0
340,6,8.0,3.0,11.7,20.0,20.0,79.0,15.0,40.0,100.0,1,9,0,5.9,9.0,0,96.8,11.7,82.0,96.0
